23日,イベント
10:00-10:05,開始花火のお知らせ
11:00-16:00,屋台開店（イカ焼き、焼きそば、ウインナー）、バザーや楽しい出店
13:00-14:00,炊き出し訓練（お手伝いボランティアにカレーを作ります）
14:00-15:30,岩瀬防災ゲーム(紅白玉入れ、岩瀬ウルトラクイズ、バケツリレー)
17:00-19:00,良い子の食事会(地域の子どもたちの参加をお待ちしてます。)
18:00-20:30,岩瀬懇親パーティー(落語にカラオケ)
