基本色,サイトタイトル,サイトの説明,メイン画像,雨天時の注意,お祭りの説明
黒,岩瀬まつり,毎年行われる松戸駅前ではもっとも大きな秋祭り,data/main.jpg,※小雨決行,お祭りの説明
